epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
122,0.06500704,0.09463761,0.97619048,0.97058824
123,0.06501626,0.09455301,0.97435897,0.97058824
124,0.06499939,0.09582328,0.97619048,0.97058824
125,0.06501706,0.09581972,0.97619048,0.97058824
126,0.06504117,0.09640139,0.97619048,0.97058824
127,0.06507897,0.09630910,0.97619048,0.97058824
128,0.06505730,0.09645953,0.97619048,0.97058824
129,0.06503385,0.09602961,0.97619048,0.97058824
130,0.06502542,0.09630713,0.97619048,0.97058824
131,0.06509063,0.09625880,0.97619048,0.97058824
132,0.06504836,0.09421267,0.97619048,0.97058824
133,0.06499862,0.09513755,0.97619048,0.97058824
134,0.06515438,0.09542339,0.97619048,0.97058824
135,0.06521525,0.09539108,0.97619048,0.97058824
136,0.06502541,0.09478146,0.97619048,0.97058824
137,0.06502452,0.09605717,0.97619048,0.97058824
138,0.06502792,0.09460402,0.97619048,0.97058824
139,0.06502662,0.09590666,0.97619048,0.97058824
140,0.06500246,0.09605896,0.97619048,0.97058824
141,0.06508166,0.09683379,0.97619048,0.97058824
142,0.06503092,0.09605718,0.97619048,0.97058824
143,0.06509291,0.09588147,0.97619048,0.97058824
144,0.06504655,0.09694809,0.97619048,0.97058824
145,0.06519918,0.09785569,0.97619048,0.97058824
146,0.06511190,0.09679438,0.97619048,0.97058824
147,0.06508707,0.09683248,0.97619048,0.97058824
148,0.06503134,0.09648041,0.97619048,0.97058824
149,0.06503379,0.09423204,0.97435897,0.97058824
150,0.06502216,0.09461694,0.97619048,0.97058824
151,0.06503422,0.09541630,0.97619048,0.97058824
152,0.06503429,0.09569605,0.97802198,0.97058824
153,0.06502926,0.09620171,0.97802198,0.97058824
154,0.06522010,0.09735422,0.97619048,0.97058824
155,0.06502866,0.09602844,0.97619048,0.97058824
156,0.06505463,0.09624101,0.97619048,0.97058824
157,0.06502818,0.09629772,0.97619048,0.97058824
158,0.06501063,0.09586205,0.97619048,0.97058824
159,0.06501460,0.09575672,0.97619048,0.97058824
160,0.06506180,0.09591032,0.97619048,0.97058824
161,0.06500809,0.09539649,0.97619048,0.97058824
162,0.06507806,0.09544740,0.97619048,0.97058824
163,0.06504478,0.09461383,0.97619048,0.97058824
164,0.06502039,0.09451040,0.97435897,0.97058824
165,0.06502175,0.09608049,0.97619048,0.97058824
166,0.06502536,0.09584765,0.97619048,0.97058824
167,0.06505242,0.09552028,0.97619048,0.97058824
168,0.06502550,0.09600911,0.97619048,0.97058824
169,0.06506413,0.09555987,0.97619048,0.97058824
170,0.06500618,0.09452161,0.97619048,0.97058824
171,0.06511178,0.09573318,0.97619048,0.97058824
172,0.06503271,0.09430434,0.97435897,0.97058824
173,0.06506349,0.09545049,0.97619048,0.97058824
174,0.06500434,0.09492715,0.97435897,0.97058824
175,0.06500620,0.09433616,0.97435897,0.97058824
176,0.06532130,0.09639847,0.97619048,0.97058824
177,0.06500973,0.09456144,0.97435897,0.97058824
178,0.06499142,0.09574076,0.97619048,0.97058824
179,0.06501970,0.09600487,0.97619048,0.97058824
180,0.06505150,0.09594944,0.97619048,0.97058824
181,0.06516044,0.09670851,0.97619048,0.97058824
182,0.06501514,0.09659984,0.97619048,0.97058824
183,0.06500894,0.09642921,0.97619048,0.97058824
184,0.06500604,0.09635927,0.97619048,0.97058824
185,0.06501303,0.09702909,0.97619048,0.97058824
186,0.06499757,0.09609996,0.97619048,0.97058824
187,0.06505137,0.09735581,0.97619048,0.97058824
188,0.06512150,0.09795716,0.97619048,0.97058824
189,0.06500246,0.09590604,0.97619048,0.97058824
190,0.06507683,0.09675187,0.97619048,0.97058824
191,0.06506521,0.09725184,0.97619048,0.97058824
192,0.06503867,0.09616168,0.97619048,0.97058824
193,0.06502436,0.09533077,0.97435897,0.97058824
194,0.06506142,0.09542167,0.97619048,0.97058824
195,0.06501570,0.09630322,0.97619048,0.97058824
196,0.06499721,0.09633491,0.97619048,0.97058824
197,0.06499606,0.09585114,0.97619048,0.97058824
198,0.06501428,0.09642444,0.97619048,0.97058824
199,0.06500485,0.09659776,0.97619048,0.97058824
200,0.06507605,0.09626407,0.97802198,0.97058824
