method,learning_rate,epochs,best_epoch,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,best_validation_accuracy,best_validation_loss,selected_train_loss,selected_validation_loss,selected_train_accuracy,selected_validation_accuracy,test_loss,test_accuracy,training_time_seconds
batch,0.01,200,200,0.19424444,0.19875586,0.97069597,0.97058824,0.97058824,0.19875586,0.19424444,0.19875586,0.97069597,0.97058824,0.19671233,0.94202899,0.02990720
batch,0.05,200,200,0.09554665,0.10056511,0.97252747,0.97058824,0.97058824,0.10056511,0.09554665,0.10056511,0.97252747,0.97058824,0.13146765,0.94202899,0.03608500
batch,0.1,200,200,0.08130750,0.08924498,0.97435897,0.97058824,0.97058824,0.08924498,0.08130750,0.08924498,0.97435897,0.97058824,0.13088373,0.94202899,0.03268960
sgd,0.01,200,13,0.06499728,0.09532692,0.97619048,0.97058824,0.97058824,0.08419654,0.06924916,0.08419654,0.97435897,0.97058824,0.14506292,0.94202899,1.07052850
sgd,0.05,200,2,0.06507605,0.09626407,0.97802198,0.97058824,0.97058824,0.08499131,0.07079539,0.08499131,0.97619048,0.97058824,0.14384592,0.94202899,1.10651170
sgd,0.1,200,5,0.06573035,0.09742844,0.97435897,0.97058824,0.97058824,0.08588695,0.06573745,0.08588695,0.97619048,0.97058824,0.16879463,0.94202899,1.10018280
