run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
baseline,6,0.99428571,0.01962366,0.97716895,0.10197906,0.99428571,0.01962366,0.01962366,0.10197906,0.99428571,0.97716895,64.66222907
deeper,6,0.99600000,0.01788245,0.98630137,0.04774341,0.99771429,0.01739411,0.01788245,0.04774341,0.99600000,0.98630137,67.68205398
dropout_bn,6,0.97257143,0.07394458,0.96803653,0.09666471,0.97657143,0.07394458,0.07394458,0.09666471,0.97257143,0.96803653,81.30646339
