run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
lr_0_0005,4,0.96857143,0.08912244,0.97260274,0.08894282,0.96857143,0.08912244,0.08912244,0.08894282,0.96857143,0.97260274,49.81011420
lr_0_001,3,0.97257143,0.08282806,0.97260274,0.06865681,0.97314286,0.07599476,0.07599476,0.17515590,0.97314286,0.94977169,50.15301879
lr_0_005,4,0.96971429,0.07631215,0.97716895,0.05499325,0.97542857,0.06817496,0.07631215,0.05499325,0.96971429,0.97716895,45.93946481
