run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
relu,4,0.98514286,0.05205059,0.99086758,0.03813929,0.98514286,0.05205059,0.05205059,0.03813929,0.98514286,0.99086758,45.88278688
tanh,3,0.96171429,0.11081230,0.97716895,0.08117682,0.98000000,0.06788696,0.06788696,0.10431582,0.98000000,0.96803653,48.36233469
leaky_relu,3,0.97542857,0.07556603,0.96803653,0.08224322,0.98800000,0.04053813,0.04053813,0.24771322,0.98800000,0.92237443,49.53411698
