run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
dropout_0_0,3,0.95942857,0.11151350,0.98173516,0.06292524,0.98685714,0.04125332,0.04125332,0.05482608,0.98685714,0.97716895,46.73039289
dropout_0_25,4,0.94971429,0.14031707,0.97260274,0.08827729,0.94971429,0.14031707,0.14031707,0.08827729,0.94971429,0.97260274,46.26116298
dropout_0_5,4,0.87485714,0.37482596,0.93607306,0.16948805,0.87485714,0.37482596,0.37482596,0.16948805,0.87485714,0.93607306,45.63388436
