run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
adam,9,0.89833333,0.38817338,0.83333333,0.73262972,0.91583333,0.33621270,0.33621270,0.75001468,0.91583333,0.83333333,1.29404085
sgd,7,0.11583333,3.33552093,0.12000000,3.32740719,0.11750000,3.27414431,3.27414431,3.26052023,0.11500000,0.09333333,1.09282628
