run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
dropout_0_0,10,0.91000000,0.33763911,0.85333333,0.69464123,0.91000000,0.33763911,0.33763911,0.69464123,0.91000000,0.85333333,1.19206711
dropout_0_25,10,0.66250000,1.10494494,0.78666667,0.96139023,0.66500000,1.10494494,1.10494494,0.96139023,0.66250000,0.78666667,1.26482663
dropout_0_5,10,0.35916667,2.17082964,0.58666667,1.77330793,0.35916667,2.17082964,2.17082964,1.77330793,0.35916667,0.58666667,1.27982166
