run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
t1_small,15,0.96583333,0.19036172,0.89333333,0.54657877,0.96583333,0.19036172,0.19036172,0.54657877,0.96583333,0.89333333,1.35494424
t2_medium,15,0.96666667,0.15709858,0.87333333,0.68127973,0.96666667,0.15709858,0.15709858,0.68127973,0.96666667,0.87333333,2.00317237
t3_dropout_bn,15,0.70500000,1.03416426,0.84666667,0.69364367,0.70500000,1.03416426,1.03416426,0.69364367,0.70500000,0.84666667,3.34820234
