run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
batch_norm_off,10,0.92500000,0.30492264,0.90000000,0.62518126,0.92500000,0.30492264,0.30492264,0.62518126,0.92500000,0.90000000,1.24105609
batch_norm_on,7,0.97833333,0.25465053,0.94000000,0.36162083,0.99500000,0.11402815,0.11402815,0.29606710,0.99500000,0.93333333,1.46620205
