run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
relu,10,0.89166667,0.38179983,0.80000000,0.82439315,0.89166667,0.38179983,0.38179983,0.82439315,0.89166667,0.80000000,1.27300660
tanh,10,0.95416667,0.28966508,0.88666667,0.50724675,0.95416667,0.28966508,0.28966508,0.50724675,0.95416667,0.88666667,1.38376988
leaky_relu,10,0.92500000,0.29223141,0.86000000,0.64217540,0.92500000,0.29223141,0.29223141,0.64217540,0.92500000,0.86000000,1.17877154
