run_name,best_epoch,best_epoch_train_accuracy,best_epoch_train_loss,best_validation_accuracy,best_validation_loss,best_train_accuracy,best_train_loss,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,training_time_seconds
lr_0_0005,9,0.74583333,1.00004174,0.74666667,1.24660430,0.77250000,0.87524328,0.87524328,1.18715888,0.77250000,0.72666667,1.22033870
lr_0_001,9,0.88833333,0.39686400,0.84666667,0.74558358,0.91583333,0.32575710,0.32575710,0.73459732,0.91583333,0.82666667,1.21183557
lr_0_005,10,0.96500000,0.09351706,0.88666667,0.84324576,0.97666667,0.07521048,0.09351706,0.84324576,0.96500000,0.88666667,1.22320126
